Registration Number,Specialization,Branch,Last Semester,Attendance (%),CGPA,Semester GPA (Target),Backlogs,Midterm Scores (out of 50),"Grades (S, A, B, C, D, E, F, N)",Study Hours/Day,Club Membership,Club Hours/Week,Leadership Role,Sleep Hours/Day,Stress Level,Predicted Semester GPA
23BCE10314,CSE Core,B.Tech,4,69,7.57,8.25,1,"34, 43, 36, 7, 7","['B', 'F', 'A', 'S', 'S', 'N', 'C', 'A', 'A', 'S', 'C', 'S', 'S', 'A', 'B', 'A', 'C', 'E']",3.7,Yes,4.2,Yes,8.1,5,6.25
23BCE10315,CSE Core,B.Tech,4,70,8.19,9.08,1,"6, 43, 14, 37, 39","['E', 'B', 'A', 'A', 'S', 'S', 'S', 'S', 'D', 'S', 'S', 'A', 'F', 'S', 'N', 'A', 'B', 'A']",3.8,Yes,2.2,No,6.6,5,6.7
23BCE10316,CSE Core,B.Tech,4,71,8.15,8.42,1,"36, 47, 30, 9, 42","['F', 'S', 'A', 'A', 'S', 'S', 'C', 'A', 'S', 'S', 'A', 'A', 'S', 'N', 'E', 'S', 'S', 'C']",4.6,Yes,7.9,No,8.7,3,7.53
23BCE10317,CSE Core,B.Tech,4,91,8.65,9.75,0,"13, 46, 34, 34, 33","['B', 'A', 'B', 'A', 'A', 'C', 'A', 'A', 'S', 'A', 'B', 'A', 'B', 'A', 'A', 'B', 'B', 'B']",5,Yes,6.4,Yes,7,2,8.86
23BCE10318,CSE Core,B.Tech,4,90,8.26,8.5,0,"50, 22, 8, 20, 23","['S', 'E', 'B', 'A', 'C', 'A', 'S', 'B', 'C', 'B', 'A', 'S', 'E', 'A', 'A', 'A', 'S', 'A']",4.9,Yes,6.3,No,8.1,4,7.9
23BCE10319,CSE Core,B.Tech,4,70,5.98,6.04,2,"5, 43, 30, 30, 34","['B', 'N', 'B', 'A', 'N', 'F', 'F', 'S', 'S', 'B', 'D', 'C', 'B', 'S', 'A', 'A', 'A', 'B']",4.6,No,0,No,8.6,5,5.31
23BCE10320,CSE Core,B.Tech,4,72,8.85,9.25,1,"41, 26, 9, 21, 3","['S', 'S', 'S', 'A', 'B', 'A', 'S', 'S', 'A', 'A', 'N', 'S', 'B', 'A', 'A', 'S', 'S', 'F']",5.1,No,0,No,8.7,5,6.67
23BCE10321,CSE Core,B.Tech,4,66,7.43,8.02,1,"35, 35, 13, 25, 47","['A', 'S', 'S', 'A', 'B', 'A', 'N', 'B', 'B', 'C', 'S', 'N', 'B', 'D', 'C', 'B', 'A', 'F']",4.2,Yes,2.9,Yes,8.1,3,6.96
23BCE10322,CSE Core,B.Tech,4,74,6.91,7.27,2,"30, 49, 19, 12, 10","['F', 'A', 'E', 'F', 'C', 'A', 'S', 'B', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'N', 'A']",3.5,Yes,3.8,Yes,7.1,3,5.54
23BCE10323,CSE Core,B.Tech,4,68,8.04,9.03,0,"11, 21, 10, 7, 16","['S', 'A', 'B', 'A', 'S', 'N', 'E', 'S', 'S', 'B', 'A', 'A', 'C', 'B', 'S', 'E', 'A', 'B']",3.8,Yes,7.2,No,8.5,3,6.57
23BCE10324,CSE Core,B.Tech,4,78,8.09,8.75,0,"47, 35, 45, 46, 40","['E', 'A', 'E', 'A', 'A', 'A', 'C', 'S', 'A', 'E', 'A', 'S', 'S', 'A', 'S', 'B', 'D', 'S']",4.9,No,0,No,7.6,4,8.94
23BCE10325,CSE Core,B.Tech,4,69,7.94,8.94,0,"14, 5, 42, 31, 24","['D', 'D', 'N', 'S', 'A', 'B', 'S', 'S', 'A', 'S', 'B', 'B', 'S', 'B', 'A', 'C', 'B', 'A']",5,No,0,No,8.9,3,7.49
23BCE10326,CSE Core,B.Tech,4,89,8.39,8.62,0,"36, 8, 37, 41, 18","['A', 'S', 'B', 'C', 'A', 'A', 'A', 'C', 'A', 'D', 'S', 'B', 'D', 'S', 'A', 'S', 'C', 'A']",3.4,Yes,4.5,Yes,8.2,3,8.04
23BCE10327,CSE Core,B.Tech,4,65,6.59,7.27,3,"33, 46, 17, 48, 3","['B', 'A', 'S', 'B', 'C', 'F', 'S', 'S', 'A', 'F', 'A', 'C', 'E', 'F', 'N', 'B', 'D', 'A']",5.8,No,0,No,9,5,5.03
23BCE10328,CSE Core,B.Tech,4,92,8.06,8.42,1,"46, 22, 25, 22, 34","['E', 'A', 'B', 'C', 'S', 'A', 'A', 'S', 'S', 'F', 'S', 'A', 'S', 'S', 'B', 'E', 'A', 'A']",4.2,No,0,No,8.9,3,7.54
23BCE10329,CSE Core,B.Tech,4,76,6.67,7.54,3,"48, 50, 27, 49, 10","['A', 'B', 'C', 'D', 'F', 'A', 'C', 'S', 'F', 'S', 'A', 'F', 'S', 'B', 'C', 'A', 'S', 'S']",5.4,No,0,No,7.9,5,5.72
23BCE10330,CSE Core,B.Tech,4,84,8.61,8.88,0,"35, 47, 32, 5, 26","['B', 'S', 'S', 'D', 'A', 'S', 'C', 'A', 'S', 'C', 'A', 'A', 'B', 'S', 'A', 'C', 'D', 'E']",4.1,No,0,No,9,5,7.94
23BCE10331,CSE Core,B.Tech,4,67,7.63,8.28,1,"14, 33, 9, 42, 19","['A', 'B', 'B', 'S', 'F', 'B', 'S', 'S', 'B', 'A', 'N', 'D', 'A', 'A', 'S', 'S', 'B', 'S']",5.7,No,0,No,8,4,6.61
23BCE10332,CSE Core,B.Tech,4,87,8.54,9.18,0,"12, 17, 23, 23, 31","['A', 'C', 'C', 'S', 'B', 'A', 'B', 'A', 'C', 'A', 'A', 'S', 'S', 'A', 'B', 'S', 'B', 'A']",5,No,0,No,8.2,3,7.87
23BCE10333,CSE Core,B.Tech,4,65,6.83,7.06,1,"44, 43, 3, 23, 7","['B', 'N', 'E', 'E', 'B', 'A', 'A', 'A', 'F', 'S', 'S', 'A', 'S', 'E', 'D', 'B', 'S', 'A']",3.5,Yes,7.9,No,6.6,5,5.74
23BCE10334,CSE Core,B.Tech,4,87,8.3,8.54,1,"17, 48, 28, 13, 23","['B', 'A', 'B', 'B', 'S', 'A', 'S', 'A', 'S', 'A', 'F', 'S', 'A', 'B', 'E', 'D', 'B', 'A']",3.6,No,0,No,9,5,6.83
23BCE10335,CSE Core,B.Tech,4,74,8.24,8.45,0,"48, 8, 6, 47, 23","['S', 'S', 'S', 'B', 'S', 'A', 'E', 'B', 'C', 'B', 'B', 'A', 'B', 'N', 'S', 'A', 'A', 'S']",4.9,Yes,3.8,Yes,7.2,4,7.76
23BCE10336,CSE Core,B.Tech,4,74,8.43,8.99,0,"19, 33, 46, 25, 34","['B', 'D', 'S', 'B', 'S', 'S', 'C', 'C', 'A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'N', 'A']",5.2,No,0,No,7.9,5,8.07
23BCE10337,CSE Core,B.Tech,4,72,7.94,8.21,0,"46, 38, 36, 8, 40","['A', 'E', 'S', 'S', 'A', 'S', 'S', 'N', 'S', 'B', 'N', 'A', 'S', 'S', 'S', 'A', 'A', 'S']",3.5,Yes,2.4,Yes,8.8,5,7.69
23BCE10338,CSE Core,B.Tech,4,67,6.39,7.5,0,"24, 35, 13, 25, 46","['N', 'D', 'N', 'C', 'S', 'S', 'A', 'N', 'S', 'A', 'A', 'B', 'S', 'E', 'N', 'S', 'S', 'B']",3.5,Yes,6.3,No,8.6,5,6.63
23BCE10339,CSE Core,B.Tech,4,83,7.41,7.94,2,"38, 30, 50, 21, 45","['S', 'S', 'B', 'C', 'B', 'B', 'C', 'S', 'A', 'F', 'F', 'A', 'B', 'B', 'B', 'C', 'S', 'C']",3.7,No,0,No,8.6,3,6.85
23BCE10340,CSE Core,B.Tech,4,73,6.35,6.74,3,"45, 15, 15, 10, 45","['N', 'B', 'A', 'S', 'C', 'S', 'F', 'D', 'S', 'B', 'F', 'B', 'C', 'B', 'F', 'A', 'B', 'A']",4.9,Yes,2.3,No,7,3,5
23BCE10341,CSE Core,B.Tech,4,76,8.61,9.23,0,"50, 15, 37, 29, 13","['A', 'B', 'A', 'C', 'B', 'S', 'S', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A']",5.1,Yes,7.6,Yes,7.6,4,8.15
23BCE10342,CSE Core,B.Tech,4,74,8.09,9,0,"23, 10, 44, 28, 32","['S', 'S', 'S', 'B', 'A', 'A', 'B', 'B', 'S', 'C', 'C', 'N', 'A', 'D', 'D', 'A', 'A', 'E']",4.6,Yes,7.1,Yes,8.3,3,7.87
23BCE10343,CSE Core,B.Tech,4,73,7,7.36,1,"24, 41, 12, 28, 29","['C', 'A', 'B', 'A', 'N', 'S', 'B', 'B', 'C', 'B', 'C', 'F', 'A', 'A', 'D', 'E', 'B', 'A']",4.4,No,0,No,8.2,4,6.5
23BCE10344,CSE Core,B.Tech,4,92,8.63,9.53,1,"24, 15, 41, 9, 45","['B', 'S', 'S', 'B', 'D', 'B', 'C', 'S', 'A', 'S', 'A', 'A', 'S', 'S', 'A', 'S', 'F', 'A']",5.1,Yes,7.1,No,8,5,7.39
23BCE10345,CSE Core,B.Tech,4,76,6.61,7.43,2,"44, 14, 15, 14, 14","['A', 'C', 'F', 'D', 'D', 'B', 'B', 'B', 'S', 'E', 'A', 'F', 'C', 'B', 'D', 'S', 'S', 'S']",4.3,No,0,No,8.9,3,5.34
23BCE10346,CSE Core,B.Tech,4,69,8.07,8.71,1,"40, 5, 10, 33, 15","['F', 'S', 'A', 'A', 'A', 'S', 'S', 'N', 'S', 'S', 'A', 'A', 'S', 'A', 'S', 'C', 'A', 'S']",5.5,No,0,No,7.7,4,6.59
23BCE10347,CSE Core,B.Tech,4,84,8.72,9.59,1,"10, 39, 26, 30, 6","['C', 'A', 'S', 'A', 'A', 'A', 'B', 'A', 'S', 'S', 'S', 'S', 'F', 'C', 'A', 'A', 'S', 'A']",3.9,Yes,7,Yes,8.6,3,7.08
23BCE10348,CSE Core,B.Tech,4,73,7.37,8.24,1,"18, 20, 6, 45, 42","['A', 'B', 'B', 'A', 'B', 'A', 'D', 'A', 'D', 'F', 'A', 'D', 'A', 'S', 'A', 'A', 'N', 'A']",4.6,Yes,6.7,No,7.6,4,6.64
23BCE10349,CSE Core,B.Tech,4,68,7.28,7.51,1,"35, 47, 29, 38, 6","['N', 'F', 'A', 'A', 'A', 'B', 'S', 'B', 'C', 'B', 'A', 'A', 'B', 'A', 'C', 'A', 'S', 'C']",5.9,No,0,No,8,3,7.21
23BCE10350,CSE Core,B.Tech,4,89,7.74,8.34,1,"38, 15, 50, 16, 44","['A', 'A', 'B', 'B', 'F', 'A', 'C', 'A', 'D', 'A', 'A', 'A', 'B', 'C', 'S', 'A', 'A', 'B']",5.9,Yes,5.4,No,8.4,4,7.7
23BCE10351,CSE Core,B.Tech,4,85,8.48,9.39,1,"39, 49, 8, 16, 45","['S', 'A', 'F', 'A', 'B', 'S', 'S', 'A', 'S', 'A', 'A', 'B', 'A', 'S', 'C', 'S', 'A', 'S']",4.7,Yes,3.5,No,7.8,3,7.8
23BCE10352,CSE Core,B.Tech,4,67,7.93,8.9,0,"5, 27, 36, 8, 42","['S', 'A', 'D', 'S', 'N', 'B', 'B', 'A', 'C', 'B', 'S', 'S', 'B', 'A', 'B', 'A', 'A', 'A']",3.8,No,0,No,7.8,3,7.27
23BCE10353,CSE Core,B.Tech,4,76,8.91,9.21,0,"3, 48, 50, 10, 19","['A', 'A', 'A', 'A', 'S', 'A', 'A', 'A', 'S', 'S', 'B', 'E', 'A', 'S', 'C', 'A', 'A', 'D']",5.1,No,0,No,7.5,4,8.07
23BCE10354,CSE Core,B.Tech,4,88,8.17,8.76,0,"15, 21, 43, 37, 35","['A', 'A', 'B', 'A', 'S', 'S', 'A', 'E', 'B', 'D', 'C', 'B', 'A', 'A', 'B', 'E', 'C', 'C']",4.4,No,0,No,7,5,7.97
23BCE10355,CSE Core,B.Tech,4,86,7.48,7.63,2,"47, 47, 46, 35, 44","['F', 'S', 'A', 'A', 'E', 'B', 'D', 'A', 'S', 'B', 'A', 'A', 'E', 'A', 'A', 'B', 'F', 'A']",3.2,No,0,No,8,4,7.18
23BCE10356,CSE Core,B.Tech,4,73,6.69,6.76,0,"41, 48, 40, 40, 11","['A', 'B', 'C', 'A', 'S', 'N', 'S', 'C', 'N', 'E', 'B', 'B', 'B', 'D', 'B', 'N', 'A', 'E']",3.5,Yes,6.4,No,8.9,5,7.38
23BCE10357,CSE Core,B.Tech,4,70,7.69,8.55,1,"50, 39, 49, 3, 38","['B', 'S', 'F', 'S', 'A', 'A', 'B', 'S', 'C', 'E', 'A', 'A', 'S', 'D', 'B', 'N', 'A', 'E']",4.5,Yes,6.2,Yes,8.4,4,7.39
23BCE10358,CSE Core,B.Tech,4,90,7.35,7.6,1,"44, 40, 4, 12, 25","['B', 'E', 'E', 'A', 'A', 'S', 'F', 'C', 'B', 'C', 'B', 'S', 'B', 'A', 'S', 'A', 'B', 'A']",5.6,Yes,3.8,No,8.7,4,6.97
23BCE10359,CSE Core,B.Tech,4,77,8.15,8.39,0,"11, 13, 38, 44, 40","['E', 'S', 'A', 'A', 'A', 'A', 'A', 'E', 'C', 'B', 'S', 'D', 'S', 'S', 'C', 'B', 'S', 'A']",3,Yes,2.4,Yes,6.8,4,7.61
23BCE10360,CSE Core,B.Tech,4,72,6.72,7.19,1,"37, 15, 21, 37, 32","['S', 'N', 'S', 'S', 'S', 'B', 'A', 'D', 'N', 'C', 'N', 'S', 'S', 'A', 'F', 'D', 'A', 'A']",3.4,Yes,5,No,8.5,4,6.29
23BCE10361,CSE Core,B.Tech,4,67,7.52,8.16,1,"20, 14, 14, 23, 14","['E', 'B', 'F', 'A', 'A', 'S', 'B', 'S', 'B', 'B', 'C', 'D', 'A', 'S', 'S', 'N', 'A', 'N']",4,Yes,6.3,No,9,4,5.83
23BCE10362,CSE Core,B.Tech,4,81,8.43,9.28,0,"30, 31, 41, 43, 46","['E', 'S', 'C', 'B', 'B', 'S', 'A', 'A', 'B', 'S', 'D', 'A', 'S', 'S', 'C', 'S', 'S', 'A']",3.7,Yes,6.9,Yes,8.1,5,8.4
23BCE10363,CSE Core,B.Tech,4,66,7.37,7.65,0,"6, 33, 26, 44, 20","['B', 'C', 'S', 'B', 'E', 'B', 'B', 'A', 'D', 'D', 'S', 'D', 'A', 'N', 'B', 'B', 'B', 'B']",4,No,0,No,7.6,5,6.91
23BCE10364,CSE Core,B.Tech,4,70,6.76,7.45,2,"44, 28, 46, 22, 10","['A', 'S', 'E', 'F', 'A', 'B', 'N', 'B', 'D', 'A', 'B', 'E', 'A', 'C', 'S', 'A', 'A', 'F']",5,No,0,No,6.6,4,5.98
23BCE10365,CSE Core,B.Tech,4,82,8.69,9,0,"35, 6, 40, 24, 38","['S', 'A', 'S', 'B', 'B', 'S', 'D', 'A', 'A', 'S', 'B', 'B', 'S', 'B', 'C', 'S', 'E', 'S']",4.8,Yes,3.3,Yes,8.5,2,8.45
23BCE10366,CSE Core,B.Tech,4,82,8.56,9.07,0,"50, 33, 10, 11, 49","['A', 'S', 'D', 'S', 'S', 'A', 'C', 'C', 'S', 'C', 'A', 'S', 'A', 'B', 'B', 'C', 'B', 'S']",4.1,Yes,2.5,Yes,7.8,5,8
23BCE10367,CSE Core,B.Tech,4,90,8.89,9.25,0,"20, 37, 26, 19, 3","['C', 'A', 'S', 'S', 'C', 'B', 'A', 'S', 'A', 'S', 'S', 'B', 'S', 'A', 'A', 'E', 'A', 'A']",4.5,No,0,No,8.5,4,7.82
23BCE10368,CSE Core,B.Tech,4,68,7,7.51,0,"41, 44, 17, 15, 25","['S', 'B', 'A', 'N', 'E', 'S', 'N', 'S', 'A', 'S', 'S', 'B', 'N', 'S', 'N', 'S', 'S', 'N']",5.8,No,0,No,6.9,5,7.27
23BCE10369,CSE Core,B.Tech,4,85,8.35,8.7,0,"31, 33, 39, 30, 34","['A', 'A', 'C', 'A', 'S', 'B', 'E', 'C', 'B', 'S', 'B', 'S', 'B', 'B', 'A', 'S', 'A', 'S']",3.5,Yes,5.5,Yes,7.8,2,8.47
23BCE10370,CSE Core,B.Tech,4,87,8.02,8.6,1,"9, 16, 16, 34, 11","['A', 'F', 'D', 'S', 'C', 'B', 'S', 'S', 'S', 'D', 'S', 'A', 'S', 'B', 'A', 'A', 'A', 'A']",5.9,No,0,No,7,4,6.67
23BCE10371,CSE Core,B.Tech,4,74,8.76,9.73,0,"8, 17, 32, 32, 18","['D', 'S', 'C', 'A', 'S', 'S', 'A', 'D', 'S', 'S', 'S', 'A', 'A', 'S', 'S', 'S', 'N', 'S']",4.7,Yes,2.4,Yes,8.4,5,7.4
23BCE10372,CSE Core,B.Tech,4,89,8.46,8.72,0,"25, 33, 14, 23, 5","['E', 'A', 'S', 'B', 'B', 'B', 'S', 'D', 'S', 'B', 'S', 'S', 'B', 'A', 'B', 'A', 'S', 'A']",5,Yes,3.2,Yes,6.7,3,7.79
23BCE10373,CSE Core,B.Tech,4,91,7.61,8.29,2,"5, 40, 24, 23, 46","['S', 'S', 'S', 'F', 'B', 'B', 'E', 'B', 'B', 'A', 'S', 'D', 'A', 'A', 'C', 'A', 'F', 'B']",3.8,No,0,No,8.2,3,6.41
23BCE10374,CSE Core,B.Tech,4,65,7.13,7.71,1,"18, 20, 6, 22, 47","['A', 'S', 'F', 'A', 'S', 'N', 'S', 'A', 'A', 'A', 'C', 'A', 'N', 'S', 'D', 'E', 'N', 'C']",3.7,Yes,5.7,Yes,8.1,5,5.8
23BCE10375,CSE Core,B.Tech,4,75,8.24,8.94,1,"15, 33, 4, 32, 33","['A', 'A', 'S', 'D', 'A', 'S', 'S', 'E', 'D', 'B', 'S', 'A', 'A', 'D', 'S', 'F', 'S', 'D']",3.5,Yes,4.4,No,7.1,3,6.74
23BCE10376,CSE Core,B.Tech,4,65,6.57,7.56,1,"30, 11, 13, 37, 46","['A', 'E', 'N', 'S', 'B', 'N', 'C', 'C', 'S', 'A', 'F', 'C', 'A', 'S', 'A', 'S', 'B', 'A']",4.3,Yes,4,Yes,8.7,3,6.36
23BCE10377,CSE Core,B.Tech,4,91,8.41,9.22,1,"39, 48, 19, 28, 6","['B', 'S', 'A', 'D', 'A', 'B', 'A', 'A', 'S', 'A', 'A', 'B', 'F', 'B', 'S', 'A', 'S', 'S']",3.5,Yes,7.6,No,8,5,7.08
23BCE10378,CSE Core,B.Tech,4,65,6.39,6.6,1,"35, 19, 44, 10, 28","['N', 'C', 'A', 'A', 'C', 'E', 'B', 'A', 'N', 'B', 'S', 'F', 'B', 'S', 'D', 'S', 'A', 'S']",5.1,No,0,No,7.1,5,6.09
23BCE10379,CSE Core,B.Tech,4,95,7.87,8.78,1,"45, 22, 44, 40, 45","['C', 'S', 'A', 'D', 'C', 'A', 'A', 'B', 'A', 'A', 'F', 'S', 'B', 'E', 'S', 'B', 'A', 'B']",4.6,Yes,6.2,Yes,6.8,5,7.94
23BCE10380,CSE Core,B.Tech,4,65,7.15,7.59,1,"50, 44, 35, 42, 19","['S', 'A', 'A', 'S', 'C', 'B', 'B', 'N', 'E', 'N', 'S', 'S', 'S', 'C', 'A', 'S', 'F', 'S']",3.6,Yes,2.3,No,6.7,5,6.9
23BCE10381,CSE Core,B.Tech,4,80,8.11,8.74,0,"11, 22, 10, 43, 50","['S', 'S', 'C', 'B', 'C', 'S', 'E', 'D', 'A', 'S', 'E', 'A', 'C', 'S', 'S', 'C', 'C', 'B']",5.7,No,0,No,8.8,4,7.99
23BCE10382,CSE Core,B.Tech,4,77,7.93,8.47,1,"48, 8, 11, 13, 49","['A', 'E', 'S', 'B', 'B', 'D', 'S', 'S', 'A', 'A', 'B', 'F', 'S', 'C', 'B', 'S', 'B', 'A']",3.6,Yes,3.1,No,8.4,3,6.85
23BCE10383,CSE Core,B.Tech,4,66,7.28,8.18,1,"49, 7, 10, 37, 27","['B', 'A', 'S', 'B', 'S', 'B', 'A', 'A', 'S', 'F', 'E', 'E', 'N', 'E', 'S', 'A', 'N', 'A']",5.5,No,0,No,8.9,3,6.76
23BCE10384,CSE Core,B.Tech,4,73,8.19,9.14,0,"38, 41, 46, 8, 26","['A', 'B', 'B', 'A', 'E', 'S', 'A', 'C', 'C', 'C', 'S', 'A', 'S', 'S', 'S', 'A', 'N', 'S']",5.1,No,0,No,6.7,5,7.97
23BCE10385,CSE Core,B.Tech,4,74,7.33,8.02,0,"23, 38, 20, 50, 3","['N', 'S', 'C', 'E', 'S', 'S', 'A', 'B', 'A', 'A', 'N', 'E', 'S', 'B', 'A', 'S', 'A', 'S']",4.1,No,0,No,8.8,3,7.43
23BCE10386,CSE Core,B.Tech,4,71,7.19,7.43,2,"31, 19, 7, 8, 47","['B', 'S', 'A', 'F', 'S', 'B', 'A', 'S', 'N', 'B', 'A', 'A', 'C', 'F', 'A', 'B', 'D', 'N']",3.2,No,0,No,6.6,3,5.42
23BCE10387,CSE Core,B.Tech,4,72,8.43,9.35,0,"10, 27, 21, 50, 41","['S', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'N', 'S', 'B', 'S', 'A', 'A', 'D', 'B']",3.4,No,0,No,6.7,2,8.01
23BCE10388,CSE Core,B.Tech,4,93,8.67,9.56,0,"11, 30, 33, 3, 43","['A', 'C', 'A', 'S', 'S', 'A', 'B', 'E', 'A', 'A', 'S', 'S', 'A', 'S', 'B', 'D', 'B', 'S']",3.4,No,0,No,6.6,3,7.93
23BCE10389,CSE Core,B.Tech,4,67,7.26,8.19,1,"12, 24, 3, 15, 16","['B', 'S', 'C', 'A', 'B', 'N', 'F', 'B', 'A', 'A', 'S', 'A', 'E', 'A', 'A', 'A', 'B', 'C']",4.6,Yes,3.1,Yes,6.6,4,5.62
23BCE10390,CSE Core,B.Tech,4,74,7.74,7.94,1,"25, 41, 30, 31, 42","['A', 'A', 'A', 'A', 'S', 'E', 'B', 'A', 'S', 'B', 'F', 'S', 'N', 'D', 'A', 'C', 'C', 'S']",6,Yes,5.5,No,7.7,5,7.38
23BCE10391,CSE Core,B.Tech,4,92,8.52,9.18,0,"35, 4, 45, 35, 26","['B', 'S', 'C', 'S', 'B', 'B', 'S', 'E', 'A', 'S', 'S', 'A', 'D', 'B', 'S', 'B', 'C', 'S']",5.5,No,0,No,7.4,4,8.44
23BCE10392,CSE Core,B.Tech,4,71,8.11,9.04,1,"14, 42, 30, 37, 12","['A', 'E', 'B', 'A', 'S', 'B', 'S', 'A', 'S', 'F', 'S', 'S', 'S', 'D', 'C', 'S', 'S', 'N']",5.5,No,0,No,8.3,4,7.1
23BCE10393,CSE Core,B.Tech,4,67,7.87,8.53,1,"49, 46, 36, 7, 43","['A', 'S', 'A', 'A', 'A', 'A', 'B', 'C', 'F', 'B', 'A', 'S', 'S', 'A', 'N', 'B', 'S', 'C']",3.6,No,0,No,7.2,4,7.27
23BCE10394,CSE Core,B.Tech,4,68,8.48,8.84,0,"20, 8, 13, 48, 3","['S', 'S', 'S', 'A', 'E', 'B', 'S', 'S', 'A', 'A', 'A', 'C', 'N', 'B', 'A', 'C', 'A', 'S']",3.2,No,0,No,8.4,3,7
23BCE10395,CSE Core,B.Tech,4,74,6.61,7.43,0,"25, 6, 9, 43, 19","['N', 'B', 'S', 'B', 'N', 'B', 'E', 'A', 'B', 'A', 'S', 'B', 'N', 'E', 'B', 'A', 'B', 'C']",3.1,Yes,4,Yes,6.8,5,6.15
23BCE10396,CSE Core,B.Tech,4,74,7.37,7.58,0,"13, 29, 14, 49, 36","['S', 'C', 'A', 'N', 'B', 'C', 'A', 'S', 'A', 'B', 'E', 'B', 'A', 'N', 'A', 'D', 'A', 'D']",5.2,Yes,7.2,No,7,4,7.59
23BCE10397,CSE Core,B.Tech,4,73,6.57,7.16,3,"10, 25, 28, 36, 34","['S', 'F', 'A', 'C', 'B', 'F', 'B', 'A', 'S', 'S', 'N', 'C', 'A', 'E', 'C', 'B', 'F', 'A']",5.9,Yes,3.8,Yes,7.2,3,5.29
23BCE10398,CSE Core,B.Tech,4,66,6.94,7.76,0,"8, 3, 6, 27, 10","['B', 'N', 'C', 'S', 'C', 'A', 'A', 'A', 'N', 'A', 'S', 'D', 'E', 'A', 'D', 'D', 'A', 'B']",4.8,Yes,8,No,6.6,4,5.98
23BCE10399,CSE Core,B.Tech,4,89,7.98,8.97,2,"42, 48, 22, 16, 35","['S', 'S', 'B', 'A', 'D', 'S', 'A', 'S', 'F', 'A', 'A', 'A', 'E', 'B', 'S', 'F', 'C', 'S']",5.7,No,0,No,8,4,7.07
23BCE10400,CSE Core,B.Tech,4,74,8.41,8.7,0,"5, 17, 29, 21, 3","['A', 'S', 'B', 'A', 'S', 'B', 'A', 'S', 'E', 'A', 'E', 'S', 'S', 'C', 'A', 'N', 'A', 'B']",5.2,Yes,3.1,Yes,7.9,4,7.06
23BCE10401,CSE Core,B.Tech,4,65,6.2,6.5,2,"37, 35, 19, 15, 50","['F', 'A', 'F', 'B', 'E', 'D', 'N', 'S', 'A', 'D', 'A', 'A', 'C', 'S', 'A', 'B', 'A', 'S']",5.2,No,0,No,8.4,4,5.8
23BCE10402,CSE Core,B.Tech,4,71,7.28,7.55,1,"14, 41, 28, 29, 26","['A', 'E', 'B', 'B', 'S', 'N', 'A', 'F', 'S', 'S', 'A', 'A', 'E', 'B', 'S', 'A', 'B', 'S']",4.9,Yes,3,No,7.6,4,6.72
23BCE10403,CSE Core,B.Tech,4,68,5.63,6.23,2,"19, 13, 24, 10, 44","['A', 'C', 'B', 'B', 'B', 'N', 'F', 'E', 'S', 'N', 'S', 'N', 'S', 'B', 'F', 'A', 'A', 'A']",4.6,Yes,6.6,No,7.3,3,5
23BCE10404,CSE Core,B.Tech,4,77,9.02,9.82,0,"50, 34, 31, 44, 34","['B', 'S', 'A', 'S', 'S', 'B', 'B', 'A', 'A', 'S', 'S', 'A', 'S', 'C', 'A', 'B', 'D', 'S']",4.4,No,0,No,8.6,4,8.92
23BCE10405,CSE Core,B.Tech,4,81,8.15,9.13,1,"42, 7, 15, 27, 44","['B', 'E', 'B', 'A', 'B', 'A', 'A', 'A', 'C', 'A', 'S', 'S', 'S', 'A', 'E', 'B', 'F', 'B']",4.3,No,0,No,7.8,4,7.08
23BCE10406,CSE Core,B.Tech,4,84,8.72,9.52,0,"12, 28, 28, 23, 25","['S', 'S', 'A', 'S', 'S', 'A', 'B', 'B', 'B', 'B', 'B', 'D', 'S', 'A', 'B', 'C', 'B', 'S']",5.8,No,0,No,7.5,3,8.16
23BCE10407,CSE Core,B.Tech,4,92,8.3,8.56,0,"46, 14, 41, 45, 27","['B', 'S', 'C', 'E', 'B', 'S', 'D', 'S', 'C', 'A', 'S', 'S', 'A', 'B', 'S', 'E', 'A', 'B']",5.5,No,0,No,6.8,5,8.58
23BCE10408,CSE Core,B.Tech,4,87,7.5,8,1,"14, 38, 34, 20, 44","['C', 'B', 'A', 'A', 'F', 'E', 'S', 'S', 'D', 'C', 'A', 'A', 'A', 'S', 'D', 'A', 'B', 'B']",5.1,Yes,2.7,No,6.9,4,7.27
23BCE10409,CSE Core,B.Tech,4,92,7.17,8.08,2,"22, 4, 35, 48, 19","['B', 'A', 'A', 'F', 'S', 'B', 'S', 'A', 'B', 'F', 'C', 'A', 'D', 'C', 'E', 'A', 'S', 'A']",4.4,No,0,No,7.4,4,6.08
23BCE10410,CSE Core,B.Tech,4,76,7.2,8.08,1,"38, 32, 11, 33, 41","['B', 'F', 'S', 'B', 'A', 'D', 'C', 'D', 'A', 'B', 'B', 'C', 'B', 'A', 'E', 'A', 'C', 'S']",5.5,No,0,No,7.7,5,6.92
